Species,Warm_Month_Count,Cold_Month_Count
Short-beaked Common Dolphin,91,73
cetaceans,84,79
common dolphins,80,45
Humpback Whale,62,16
dolphins,55,30
Dall's Porpoise,42,15
Pacific White-sided Dolphin,39,22
Blue Whale,31,6
Fin Whale,28,25
Long-beaked Common Dolphin,27,18
Risso's Dolphin,15,11
Common Minke Whale,14,3
Northern Right Whale Dolphin,14,4
Sperm Whale,14,7
Bottlenose Dolphin,8,9
Gray Whale,4,10
Cuvier's Beaked Whale,2,1
Killer Whale,2,0
Striped Dolphin,2,1
Short-finned Pilot Whale,1,0
Baird's Beaked Whale,1,0
baleen whales,1,0
Harbor Porpoise,1,0
False Killer Whale,0,1
beaked whales,0,1
