Species,Warm Season Count,Cold Season Count
Baird's Beaked Whale,1,0
baleen whales,1,0
beaked whales,0,1
Blue Whale,31,6
Bottlenose Dolphin,8,9
cetaceans,84,79
common dolphins,80,45
Common Minke Whale,14,3
Cuvier's Beaked Whale,2,1
Dall's Porpoise,42,15
dolphins,55,30
False Killer Whale,0,1
Fin Whale,28,25
Gray Whale,4,10
Harbor Porpoise,1,0
Humpback Whale,62,16
Killer Whale,2,0
Long-beaked Common Dolphin,27,18
Northern Right Whale Dolphin,14,4
Pacific White-sided Dolphin,39,22
Risso's Dolphin,15,11
Short-beaked Common Dolphin,91,73
Short-finned Pilot Whale,1,0
Sperm Whale,14,7
Striped Dolphin,2,1
